input_size,hidden_size,num_layers,dropout,lr,num_epochs,best_val_spearman,best_epoch
4,64,2,0.2,0.001,30,0.6538209319114685,29
4,64,2,0.4,0.001,30,0.6556527614593506,28
4,64,4,0.2,0.001,30,0.6606279611587524,24
4,64,4,0.4,0.001,30,0.6411640048027039,30
4,128,2,0.2,0.001,30,0.6680564880371094,24
4,128,2,0.4,0.001,30,0.665180504322052,27
4,128,4,0.2,0.001,30,0.188080295920372,10
4,128,4,0.4,0.001,30,0.6561174988746643,29
4,64,2,0.2,0.0001,30,0.6188289523124695,30
4,64,2,0.4,0.0001,30,0.5837846994400024,30
4,64,4,0.2,0.0001,30,0.5846878886222839,30
4,64,4,0.4,0.0001,30,0.5239270925521851,30
4,128,2,0.2,0.0001,30,0.6390560269355774,29
4,128,2,0.4,0.0001,30,0.6266258358955383,28
4,128,4,0.2,0.0001,30,0.6381965279579163,29
4,128,4,0.4,0.0001,30,0.6175640225410461,30
4,64,2,0.2,0.0005,30,0.6549522280693054,25
4,64,2,0.4,0.0005,30,0.6511159539222717,30
4,64,4,0.2,0.0005,30,0.6522098183631897,30
4,64,4,0.4,0.0005,30,0.6450693607330322,30
4,128,2,0.2,0.0005,30,0.6689007878303528,30
4,128,2,0.4,0.0005,30,0.6590766906738281,28
4,128,4,0.2,0.0005,30,0.18826091289520264,6
4,128,4,0.4,0.0005,30,0.6615630388259888,27
