input_channels,base_filters,out_dim,dropout_prob,lr,num_epochs,best_val_spearman,best_epoch
4,16,1,0.2,0.001,30,0.5934123396873474,30
4,32,1,0.2,0.001,30,0.6051979064941406,27
4,16,1,0.4,0.001,30,0.5758332014083862,30
4,32,1,0.4,0.001,30,0.5904874205589294,28
4,16,1,0.2,0.0001,30,0.5774252414703369,28
4,32,1,0.2,0.0001,30,0.5990011692047119,29
4,16,1,0.4,0.0001,30,0.5652695298194885,30
4,32,1,0.4,0.0001,30,0.5838936567306519,30
4,16,1,0.2,0.0005,30,0.5901172757148743,25
4,32,1,0.2,0.0005,30,0.6044413447380066,20
4,16,1,0.4,0.0005,30,0.5699862837791443,27
4,32,1,0.4,0.0005,30,0.5863078832626343,28
